,,,,,,,,,,,,,,,,,
,Total de Gastos:,"R$ 1.220,14",,,,,Setembro,,,,,,Gastos do mês por categorias,,,,
,SALDO:,"R$ 623,86",,,,,,,,,,,Categoria,Valor esperado,Valor gasto,Porcentagem,
,,,,,,,,,,,,,Mercado,,"R$ 0,00","0,00%",
,Total de Fixos:,,,"R$ 192,85",,,Total de Gastos do Mês:,,,"R$ 708,02",,,Despesas eventuais,,"R$ 0,00","0,00%",
,Total de Cartão:,,,"R$ 319,28",,,,,,,,,Necessidades,,"R$ 63,49","5,20%",
,,,,,,,Gastos do Mês (Débito),,,,,,Roupas,,"R$ 0,00","0,00%",
,FIXOS,,,,,,Nome,,Data,Categoria,Valor,,Saúde,,"R$ 30,90","2,53%",
,Nome,,Tipo,Categoria,Valor,,aluguel ,,,Aluguel,"R$ 323,27",,Presentes,,"R$ 73,32","6,01%",
,Crunchyroll(Dividido),,Crédito,Assinaturas,"R$ 20,00",,luz,,,Contas,"R$ 142,00",,Beleza,,"R$ 0,00","0,00%",
,Vivo EASY,,Crédito,Assinaturas,"R$ 33,00",,Moveis madeira e madeira,,6/12,Contas,"R$ 242,75",,Educação,,"R$ 0,00","0,00%",
,Amazon ,,Crédito,Assinaturas,"R$ 20,00",,,,,,,,Lazer,,"R$ 0,00","0,00%",
,Cartão de Todos,,Crédito,Saúde,"R$ 30,90",,,,,,,,Eletrônicos,,"R$ 73,62","6,03%",
,Internet nio,,Débito,Assinaturas,"R$ 75,00",,,,,,,,Assinaturas,,"R$ 161,95","13,27%",
,spotify,,Crédito,Assinaturas,"R$ 13,95",,,,,,,,99/Transporte,,"R$ 0,00","0,00%",
,,,,,,,,,,,,,IFood/Restaurante,,"R$ 0,00","0,00%",
,,,,,,,,,,,,,Aluguel,,"R$ 0,00","0,00%",
,,,,,,,,,,,,,Contas,,"R$ 13,00","1,07%",
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Entradas,,,Saídas,
,Cartão de Crédito Nubank,,"R$ 89,32",,,,,,,,,,Salário ,"R$ 1.844,00",,Débito,
,Nome,Parcela,Data,Categoria,Valor,,,,,,,,Dinheiro que sobrou do mes passado ,"R$ 0,00",,Crédito,
,Aspirador de pó Carrefour,3/15,19/07,Necessidades,"R$ 16,00",,,,,,,,presente do sograo,,,Fixos,
,Studio Asaphoto,2/12,13/07,Presentes,"R$ 73,32",,,,,,,,site thales,,,Investimentos,
,Lanche Mundo Animal,,,,,,,,,,,,,,,Metas,
,,,,,,,,,,,,,Total,"R$ 1.844,00",,Total,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Investimentos,,,,
,,,,,,,,,,,,,Separado NU,,,Gastos por tipo ,
,,,,,,,,,,,,,,,,Débito,"R$ 708,02"
,,,,,,,,,,,,,,,,Crédito,"R$ 319,28"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total,R$,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Cartão de Crédito Magalu,,"R$ 229,96",,,,,,,,,,,,,,
,Nome,Parcela,Data,Categoria,Valor,,,,,,,,,,,,
,Refuturiza ,,,Contas,"R$ 13,00",,,,,,,,,,,,
,Carrefour (multiprocessador),3/5,11/07,Eletrônicos,"R$ 26,71",,,,,,,,,,,,
,"Lojão Total (torneira, varal...)",3/5,19/07,Eletrônicos,"R$ 46,91",,,,,,,,,,,,
,Bolsa Maternidade,2/4,17/08,Necessidades,"R$ 47,49",,,,,,,,,,,,
,Robo Aspirador,2/9,,,"R$ 95,86",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Cartão de Crédito Renner,,"R$ 0,00",,,,,,,,,,,,,,
,Nome,Parcela,Data,Categoria,Valor,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Cartão de Crédito Carrefuor,,"R$ 0,00",,,,,,,,,,,,,,
,Nome,Parcela,Data,Categoria,Valor,,,,,,,,,,,,
